# ----------------------------------------,,,,,,,
# www.photo-a-day.org,,,,,,,
# Pages,,,,,,,
# 20050601-20161006,,,,,,,
# ----------------------------------------,,,,,,,
,,,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/PhotoDetail.aspx?date=06/01/2005,120,93,0:00:06,1,0.00%,11.67%,$0.00 
/PhotoDetail.aspx?date=03/06/2011,116,112,0:01:50,83,97.59%,75.00%,$0.00 
/PhotoDetail.aspx?date=05/08/2011,116,99,0:01:48,78,78.21%,62.07%,$0.00 
/PhotoDetail.aspx?date=12/09/2010,109,98,0:00:17,76,75.00%,62.39%,$0.00 
/PhotoDetail.aspx?date=08/07/2010,108,81,0:01:24,28,53.57%,34.26%,$0.00 
/PhotoDetail.aspx?date=04/04/2010,98,82,0:00:50,46,84.78%,50.00%,$0.00 
/PhotoDetail.aspx?date=04/02/2010,91,72,0:00:50,28,64.29%,35.16%,$0.00 
/PhotoDetail.aspx?date=07/21/2010,88,66,0:00:35,14,78.57%,22.73%,$0.00 
/PhotoDetail.aspx?date=08/24/2012,88,54,0:00:19,43,51.16%,47.73%,$0.00 
/PhotoDetail.aspx?date=07/05/2010,82,71,0:00:52,37,78.38%,41.46%,$0.00 
/PhotoDetail.aspx?date=07/20/2010,78,52,0:00:18,17,58.82%,19.23%,$0.00 
/PhotoDetail.aspx?date=12/12/2010,78,64,0:00:53,40,55.00%,46.15%,$0.00 
/PhotoDetail.aspx?date=11/06/2011,73,60,0:00:18,41,43.90%,39.73%,$0.00 
/PhotoDetail.aspx?date=11/23/2009,71,71,0:00:06,68,1.47%,1.41%,$0.00 
/PhotoDetail.aspx?date=04/03/2010,67,47,0:00:47,4,50.00%,16.42%,$0.00 
/PhotoDetail.aspx?date=06/12/2011,64,47,0:01:45,19,52.63%,39.06%,$0.00 
/PhotoDetail.aspx?date=08/08/2010,62,49,0:01:17,5,40.00%,12.90%,$0.00 
/PhotoDetail.aspx?date=07/19/2010,58,41,0:00:56,8,37.50%,6.90%,$0.00 
/PhotoDetail.aspx?date=02/03/2011,57,52,0:01:02,16,75.00%,42.11%,$0.00 
/PhotoDetail.aspx?date=06/19/2010,56,46,0:01:19,15,60.00%,25.00%,$0.00 
/PhotoDetail.aspx?date=04/20/2011,55,55,0:00:24,44,90.91%,76.36%,$0.00 
/PhotoDetail.aspx?date=08/12/2010,53,46,0:00:52,4,100.00%,18.87%,$0.00 
/PhotoDetail.aspx?date=10/17/2010,53,47,0:00:11,7,71.43%,32.08%,$0.00 
/PhotoDetail.aspx?date=08/18/2010,52,44,0:00:56,9,88.89%,23.08%,$0.00 
/PhotoDetail.aspx?date=07/14/2010,50,40,0:00:47,11,27.27%,12.00%,$0.00 
/PhotoDetail.aspx?date=02/17/2010,49,36,0:00:06,0,0.00%,4.08%,$0.00 
/PhotoDetail.aspx?date=06/20/2010,49,44,0:01:12,20,55.00%,34.69%,$0.00 
/PhotoDetail.aspx?date=04/09/2011,48,44,0:00:07,14,71.43%,39.58%,$0.00 
/PhotoDetail.aspx?date=04/28/2012,48,39,0:01:21,23,78.26%,52.08%,$0.00 
/PhotoDetail.aspx?date=04/25/2010,47,36,0:01:22,10,20.00%,23.40%,$0.00 
/PhotoDetail.aspx?date=07/22/2010,47,35,0:00:18,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=07/24/2010,47,33,0:00:33,0,0.00%,2.13%,$0.00 
/PhotoDetail.aspx?date=09/23/2010,47,44,0:00:29,3,33.33%,14.89%,$0.00 
/PhotoDetail.aspx?date=01/17/2012,46,35,0:00:47,12,50.00%,34.78%,$0.00 
/PhotoDetail.aspx?date=04/24/2010,46,40,0:00:22,11,72.73%,34.78%,$0.00 
/PhotoDetail.aspx?date=05/02/2011,46,41,0:00:28,16,87.50%,34.78%,$0.00 
/PhotoDetail.aspx?date=07/25/2010,46,35,0:00:09,0,0.00%,4.35%,$0.00 
/PhotoDetail.aspx?date=07/11/2010,45,36,0:00:31,1,0.00%,4.44%,$0.00 
/PhotoDetail.aspx?date=07/17/2010,45,38,0:00:20,0,0.00%,6.67%,$0.00 
/PhotoDetail.aspx?date=07/23/2010,45,33,0:00:40,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=09/29/2010&ref=nf,45,43,0:00:53,42,61.90%,64.44%,$0.00 
/PhotoDetail.aspx?date=11/04/2012,45,38,0:00:25,21,71.43%,48.89%,$0.00 
/PhotoDetail.aspx?date=12/28/2010,45,31,0:00:40,14,0.00%,26.67%,$0.00 
/PhotoDetail.aspx?date=01/05/2013,44,37,0:00:52,21,95.24%,54.55%,$0.00 
/PhotoDetail.aspx?date=02/16/2010,44,38,0:01:45,15,33.33%,13.64%,$0.00 
/PhotoDetail.aspx?date=03/08/2010,44,39,0:00:43,8,25.00%,20.45%,$0.00 
/PhotoDetail.aspx?date=06/07/2011,44,37,0:00:10,14,92.86%,40.91%,$0.00 
/PhotoDetail.aspx?date=07/04/2011,44,41,0:00:11,16,81.25%,52.27%,$0.00 
/PhotoDetail.aspx?date=07/26/2010,44,34,0:00:15,0,0.00%,0.00%,$0.00 
/PhotoDetail.aspx?date=08/07/2013,44,17,0:00:24,4,25.00%,13.64%,$0.00 
/PhotoDetail.aspx?date=12/03/2011,44,37,0:00:17,25,88.00%,54.55%,$0.00 
/PhotoDetail.aspx?date=01/11/2011,43,41,0:00:24,15,66.67%,30.23%,$0.00 
/PhotoDetail.aspx?date=03/17/2011,43,39,0:00:19,21,90.48%,53.49%,$0.00 
/PhotoDetail.aspx?date=04/05/2010,43,40,0:00:06,0,0.00%,11.63%,$0.00 
/PhotoDetail.aspx?date=08/17/2010,43,35,0:00:15,1,0.00%,6.98%,$0.00 
/PhotoDetail.aspx?date=02/18/2010,42,32,0:00:05,1,100.00%,7.14%,$0.00 
/PhotoDetail.aspx?date=02/19/2010,42,30,0:00:20,0,0.00%,4.76%,$0.00 
/PhotoDetail.aspx?date=02/20/2010,42,31,0:00:04,0,0.00%,2.38%,$0.00 
